"release.id","url"
"350521","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=350521"
"350519","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=350519"
"350500","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=350500"
"350493","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=350493"
"350490","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=350490"
"350485","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=350485"
"349479","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349479"
"349474","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349474"
"349470","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349470"
"349464","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349464"
"349463","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349463"
"349462","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349462"
"349447","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349447"
"349437","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349437"
"349434","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349434"
"349433","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349433"
"349430","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349430"
"349427","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349427"
"349419","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349419"
"349411","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349411"
"349404","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349404"
"349399","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349399"
"349390","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349390"
"349378","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349378"
"349364","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349364"
"349347","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349347"
"349345","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349345"
"349334","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349334"
"349330","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349330"
"349328","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349328"
"349324","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349324"
"349309","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349309"
"349322","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349322"
"349260","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349260"
"349252","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349252"
"349250","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349250"
"349247","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349247"
"349231","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349231"
"349223","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349223"
"349200","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349200"
"349197","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349197"
"349196","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349196"
"349178","http://www.crapo.senate.gov/media/newsreleases/release_full.cfm?id=349178"
