"release.id","keyword.match"
"356547",1
"356534",0
"356526",14
"356521",0
"356516",1
"356515",1
"356461",3
"356465",0
"356430",1
"355420",0
"355394",0
"355373",1
"355364",1
"355354",2
"355353",0
"355347",1
"355344",0
"355319",0
"355318",1
"355304",4
"355279",0
"355278",2
"355246",0
"355233",0
"355221",5
"355211",0
"355210",0
"355195",0
"355166",1
"355162",2
"355161",0
"355150",0
"355147",0
"355133",0
"355071",0
"355052",2
"355044",1
"355020",0
"355007",0
"352986",1
